Date,Close,tby,ffr,fta,eps,div,une
2020-05-21,2948.51,0.68,0.05,7037258.0,114.29,2.1,13.3
2020-05-22,2955.45,0.66,0.05,7037258.0,114.29,2.1,13.3
2020-05-26,2991.77,0.69,0.05,7037258.0,114.29,2.1,13.3
2020-05-27,3036.13,0.68,0.05,7097316.0,114.29,2.1,13.3
2020-05-28,3029.73,0.7,0.05,7097316.0,114.29,2.1,13.3
2020-05-29,3044.31,0.65,0.05,7097316.0,114.29,2.1,13.3
2020-06-01,3055.73,0.66,0.08,7097316.0,108.4,1.95,11.1
2020-06-02,3080.82,0.68,0.08,7097316.0,108.4,1.95,11.1
2020-06-03,3122.87,0.77,0.08,7165217.0,108.4,1.95,11.1
2020-06-04,3112.35,0.82,0.08,7165217.0,108.4,1.95,11.1
2020-06-05,3193.93,0.91,0.08,7165217.0,108.4,1.95,11.1
2020-06-08,3232.39,0.88,0.08,7165217.0,108.4,1.95,11.1
2020-06-09,3207.18,0.84,0.08,7165217.0,108.4,1.95,11.1
2020-06-10,3190.14,0.75,0.08,7168936.0,108.4,1.95,11.1
2020-06-11,3002.1,0.66,0.08,7168936.0,108.4,1.95,11.1
2020-06-12,3041.31,0.71,0.08,7168936.0,108.4,1.95,11.1
2020-06-15,3066.59,0.71,0.08,7168936.0,108.4,1.95,11.1
2020-06-16,3124.74,0.75,0.08,7168936.0,108.4,1.95,11.1
2020-06-17,3113.49,0.74,0.08,7094690.0,108.4,1.95,11.1
2020-06-18,3115.34,0.71,0.08,7094690.0,108.4,1.95,11.1
2020-06-19,3097.74,0.7,0.08,7094690.0,108.4,1.95,11.1
2020-06-22,3117.86,0.71,0.08,7094690.0,108.4,1.95,11.1
2020-06-23,3131.29,0.72,0.08,7094690.0,108.4,1.95,11.1
2020-06-24,3050.33,0.69,0.08,7082302.0,108.4,1.95,11.1
2020-06-25,3083.76,0.68,0.08,7082302.0,108.4,1.95,11.1
2020-06-26,3009.05,0.64,0.08,7082302.0,108.4,1.95,11.1
2020-06-29,3053.24,0.64,0.08,7082302.0,108.4,1.95,11.1
2020-06-30,3100.29,0.66,0.08,7082302.0,101.96,1.92,11.1
2020-07-01,3115.86,0.69,0.09,7009040.0,101.96,1.91,10.2
2020-07-02,3130.01,0.68,0.09,7009040.0,101.96,1.91,10.2
2020-07-06,3179.72,0.69,0.09,7009040.0,101.96,1.91,10.2
2020-07-07,3145.32,0.65,0.09,7009040.0,101.96,1.91,10.2
2020-07-08,3169.94,0.67,0.09,6920716.0,101.96,1.91,10.2
2020-07-09,3152.05,0.62,0.09,6920716.0,101.96,1.91,10.2
2020-07-10,3185.04,0.65,0.09,6920716.0,101.96,1.91,10.2
2020-07-13,3155.22,0.64,0.09,6920716.0,101.96,1.91,10.2
2020-07-14,3197.52,0.63,0.09,6920716.0,101.96,1.91,10.2
2020-07-15,3226.56,0.64,0.09,6958604.0,101.96,1.91,10.2
2020-07-16,3215.57,0.62,0.09,6958604.0,101.96,1.91,10.2
2020-07-17,3224.73,0.64,0.09,6958604.0,101.96,1.91,10.2
2020-07-20,3251.84,0.62,0.09,6958604.0,101.96,1.91,10.2
2020-07-21,3257.3,0.61,0.09,6958604.0,101.96,1.91,10.2
2020-07-22,3276.02,0.6,0.09,6964755.0,101.96,1.91,10.2
2020-07-23,3235.66,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-24,3215.63,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-27,3239.41,0.62,0.09,6964755.0,101.96,1.91,10.2
2020-07-28,3218.44,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-29,3258.44,0.58,0.09,6949032.0,101.96,1.91,10.2
2020-07-30,3246.22,0.55,0.09,6949032.0,101.96,1.91,10.2
2020-07-31,3271.12,0.55,0.09,6949032.0,101.1,1.85,10.2
2020-08-31,3500.31,0.72,0.1,6990418.0,100.44,1.74,8.4
2020-09-01,3526.65,0.68,0.09,6990418.0,100.44,1.69,7.8
2020-09-02,3580.84,0.66,0.09,7017492.0,100.44,1.69,7.8
2020-09-03,3455.06,0.63,0.09,7017492.0,100.44,1.69,7.8
2020-09-04,3426.96,0.72,0.09,7017492.0,100.44,1.69,7.8
2020-09-08,3331.84,0.69,0.09,7017492.0,100.44,1.69,7.8
2020-09-09,3398.96,0.71,0.09,7010614.0,100.44,1.69,7.8
2020-09-10,3339.19,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-11,3340.97,0.67,0.09,7010614.0,100.44,1.69,7.8
2020-09-14,3383.54,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-15,3401.2,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-16,3385.49,0.69,0.09,7064475.0,100.44,1.69,7.8
2020-09-17,3357.01,0.69,0.09,7064475.0,100.44,1.69,7.8
2020-09-18,3319.47,0.7,0.09,7064475.0,100.44,1.69,7.8
2020-09-21,3281.06,0.68,0.09,7064475.0,100.44,1.69,7.8
2020-09-22,3315.57,0.68,0.09,7064475.0,100.44,1.69,7.8
2020-09-23,3236.92,0.68,0.09,7093161.0,100.44,1.69,7.8
2020-09-24,3246.59,0.67,0.09,7093161.0,100.44,1.69,7.8
2020-09-25,3298.46,0.66,0.09,7093161.0,100.44,1.69,7.8
2020-09-28,3351.6,0.67,0.09,7093161.0,100.44,1.69,7.8
2020-09-29,3335.47,0.66,0.09,7093161.0,100.44,1.69,7.8
2020-09-30,3363.0,0.69,0.09,7056129.0,99.95,1.75,7.8
2020-10-01,3380.8,0.68,0.09,7056129.0,99.95,1.77,6.9
2020-10-02,3348.44,0.7,0.09,7056129.0,99.95,1.77,6.9
2020-10-05,3408.63,0.78,0.09,7056129.0,99.95,1.77,6.9
2020-10-06,3360.95,0.76,0.09,7056129.0,99.95,1.77,6.9
2020-10-07,3419.45,0.81,0.09,7074649.0,99.95,1.77,6.9
