Date, Open, High, Low, Close
02/29/12, 1345.63, 1351.13, 1325.88, 1328.04
02/28/12, 1343.06, 1351.06, 1338.96, 1343.61
02/27/12, 1337.73, 1347.73, 1332.74, 1341.29
02/24/12, 1342.12, 1346.83, 1338.25, 1340.28
02/23/12, 1326.91, 1340.60, 1321.08, 1339.40
02/22/12, 1330.62, 1333.18, 1324.02, 1326.91
02/21/12, 1329.63, 1332.86, 1325.56, 1327.99
02/17/12, 1326.40, 1327.23, 1315.38, 1324.19
02/16/12, 1308.20, 1322.75, 1301.01, 1320.54
02/15/12, 1307.78, 1315.11, 1302.54, 1305.91
02/14/12, 1310.14, 1314.24, 1299.41, 1309.53
02/13/12, 1300.65, 1314.95, 1300.65, 1311.82
02/10/12, 1304.83, 1304.83, 1293.04, 1300.65
02/09/12, 1317.33, 1320.93, 1307.19, 1316.51
02/08/12, 1321.31, 1321.31, 1305.66, 1312.99
02/07/12, 1303.44, 1321.82, 1295.45, 1318.98
02/06/12, 1287.01, 1303.15, 1282.21, 1303.15
02/03/12, 1275.15, 1295.71, 1274.97, 1295.01
02/02/12, 1264.95, 1273.42, 1260.75, 1268.36
02/01/12, 1260.09, 1273.15, 1260.09, 1264.15
01/31/12, 1264.58, 1268.35, 1248.73, 1260.09
01/30/12, 1250.89, 1257.46, 1239.58, 1257.46
01/27/12, 1258.13, 1263.89, 1255.67, 1259.08
01/26/12, 1292.97, 1293.77, 1264.79, 1268.33
01/25/12, 1276.79, 1291.40, 1262.15, 1289.14
01/24/12, 1277.54, 1281.84, 1272.84, 1281.61
01/23/12, 1278.02, 1286.43, 1275.13, 1283.50
01/20/12, 1271.56, 1273.81, 1262.89, 1273.79
01/19/12, 1276.17, 1277.82, 1268.01, 1275.38
01/18/12, 1252.93, 1273.01, 1247.00, 1272.69
01/17/12, 1255.75, 1258.30, 1246.93, 1251.76
01/13/12, 1230.73, 1235.75, 1224.01, 1235.66
01/12/12, 1248.73, 1249.44, 1237.22, 1239.58
01/11/12, 1251.36, 1253.03, 1243.11, 1248.73
01/10/12, 1269.50, 1273.08, 1260.85, 1263.08
01/09/12, 1248.95, 1255.18, 1245.62, 1254.29
01/06/12, 1257.73, 1257.73, 1245.17, 1247.33
01/05/12, 1264.78, 1264.78, 1244.15, 1253.94
01/04/12, 1258.42, 1266.12, 1251.42, 1264.78
01/03/12, 1257.95, 1266.71, 1253.43, 1260.77
12/30/11, 1227.78, 1234.42, 1227.57, 1229.10
12/29/11, 1218.68, 1229.96, 1218.49, 1228.96
12/28/11, 1237.83, 1240.14, 1214.26, 1215.21
12/27/11, 1231.77, 1242.72, 1231.77, 1239.14
12/23/11, 1227.47, 1234.05, 1224.56, 1233.88
12/22/11, 1213.66, 1226.35, 1212.84, 1223.99
12/21/11, 1196.09, 1210.78, 1189.06, 1207.74
12/20/11, 1169.09, 1198.73, 1169.09, 1195.23
12/19/11, 1169.56, 1170.60, 1149.08, 1151.69
12/16/11, 1170.14, 1177.13, 1160.34, 1170.19
12/15/11, 1180.50, 1181.46, 1160.50, 1164.28
12/14/11, 1183.92, 1187.13, 1159.23, 1165.02
12/13/11, 1207.47, 1225.27, 1187.59, 1195.42
12/12/11, 1213.82, 1213.82, 1184.73, 1199.23
12/09/11, 1206.31, 1231.00, 1206.31, 1227.50
12/08/11, 1228.37, 1228.58, 1197.22, 1200.77
12/07/11, 1236.79, 1245.74, 1224.95, 1237.53
12/06/11, 1242.12, 1251.40, 1235.31, 1241.14
12/05/11, 1246.98, 1256.47, 1232.40, 1241.44
12/02/11, 1238.17, 1238.51, 1223.23, 1224.77
12/01/11, 1229.43, 1237.72, 1217.87, 1222.49
11/30/11, 1217.44, 1234.00, 1216.58, 1232.75
11/29/11, 1160.48, 1180.62, 1157.88, 1171.84
11/28/11, 1156.88, 1165.55, 1147.66, 1157.02
11/25/11, 1121.12, 1133.55, 1114.30, 1114.30
11/23/11, 1144.59, 1144.59, 1124.67, 1124.69
11/22/11, 1164.04, 1173.71, 1153.00, 1159.34
11/21/11, 1173.03, 1174.21, 1153.64, 1168.58
11/18/11, 1192.40, 1205.69, 1183.57, 1188.70
11/17/11, 1214.48, 1222.69, 1183.63, 1192.40
11/16/11, 1234.40, 1243.02, 1212.52, 1214.48
11/15/11, 1237.58, 1246.54, 1227.85, 1234.40
11/14/11, 1251.17, 1251.17, 1227.18, 1237.58
11/11/11, 1232.26, 1261.51, 1232.26, 1251.17
11/10/11, 1211.73, 1238.85, 1209.54, 1232.07
11/09/11, 1272.17, 1272.17, 1209.43, 1211.73
11/08/11, 1252.06, 1274.45, 1249.79, 1272.17
11/07/11, 1242.30, 1256.26, 1229.24, 1252.06
11/04/11, 1239.87, 1244.29, 1219.15, 1242.30
11/03/11, 1213.22, 1242.22, 1211.97, 1239.87
11/02/11, 1187.49, 1219.32, 1187.49, 1213.22
11/01/11, 1221.26, 1221.26, 1164.56, 1187.49
10/31/11, 1276.90, 1276.90, 1221.16, 1221.26
10/28/11, 1270.72, 1278.82, 1256.71, 1276.90
10/27/11, 1222.10, 1283.59, 1222.10, 1270.72
10/26/11, 1192.67, 1226.06, 1188.66, 1222.10
10/25/11, 1211.57, 1212.11, 1183.65, 1192.67
10/24/11, 1205.82, 1216.45, 1199.89, 1211.57
10/21/11, 1179.81, 1207.07, 1179.81, 1205.82
10/20/11, 1172.22, 1184.11, 1156.05, 1179.81
10/19/11, 1181.21, 1193.08, 1166.23, 1172.22
10/18/11, 1146.76, 1190.50, 1134.88, 1181.21
10/17/11, 1160.13, 1162.90, 1143.27, 1146.76
10/14/11, 1122.86, 1160.37, 1122.86, 1160.13
10/13/11, 1123.50, 1127.02, 1103.06, 1122.86
10/12/11, 1113.30, 1137.70, 1113.30, 1123.50
10/11/11, 1116.34, 1122.67, 1104.40, 1113.30
10/10/11, 1068.63, 1116.35, 1068.63, 1116.34
10/07/11, 1078.34, 1090.64, 1060.62, 1068.63
10/06/11, 1061.34, 1079.10, 1045.99, 1078.34
10/05/11, 1026.22, 1063.79, 1026.22, 1061.34
10/04/11, 995.22, 1027.92, 958.66, 1026.22
10/03/11, 1031.82, 1031.82, 995.22, 995.22
09/30/11, 1066.63, 1066.63, 1031.82, 1031.82
09/29/11, 1051.21, 1078.88, 1045.76, 1066.63
09/28/11, 1083.24, 1095.31, 1049.85, 1051.21
09/27/11, 1065.08, 1108.86, 1065.08, 1083.24
09/26/11, 1065.08, 1065.08, 1065.08, 1065.08
09/23/11, 1032.44, 1039.84, 1014.68, 1027.61
09/22/11, 1084.32, 1084.32, 1015.16, 1032.44
09/21/11, 1130.04, 1130.11, 1083.98, 1084.32
09/20/11, 1133.57, 1153.41, 1125.40, 1130.04
09/19/11, 1148.83, 1148.83, 1111.05, 1133.57
09/16/11, 1151.76, 1157.70, 1135.88, 1148.83
09/15/11, 1126.15, 1152.83, 1126.15, 1151.76
09/14/11, 1111.00, 1140.29, 1098.57, 1126.15
09/13/11, 1103.87, 1117.93, 1092.64, 1111.00
09/12/11, 1103.87, 1103.87, 1103.87, 1103.87
09/09/11, 1102.41, 1102.41, 1102.41, 1102.41
09/08/11, 1149.13, 1159.79, 1130.13, 1136.25
09/07/11, 1111.76, 1149.16, 1111.76, 1149.13
09/06/11, 1123.37, 1123.37, 1079.39, 1111.76
09/02/11, 1154.13, 1154.13, 1114.38, 1123.37
09/01/11, 1164.26, 1176.76, 1153.22, 1154.13
08/31/11, 1151.96, 1177.55, 1151.96, 1164.26
08/30/11, 1147.99, 1158.29, 1128.06, 1151.96
08/29/11, 1114.49, 1148.70, 1114.49, 1147.99
08/26/11, 1097.72, 1119.19, 1073.55, 1114.49
08/25/11, 1124.18, 1130.06, 1093.31, 1097.72
08/24/11, 1123.15, 1129.58, 1106.09, 1124.18
08/23/11, 1080.15, 1123.15, 1080.15, 1123.15
08/22/11, 1078.32, 1115.19, 1074.90, 1080.15
08/19/11, 1094.17, 1111.83, 1075.53, 1078.32
08/18/11, 1155.31, 1155.31, 1083.51, 1094.17
08/17/11, 1148.78, 1173.30, 1147.38, 1155.31
08/16/11, 1169.65, 1169.65, 1136.87, 1148.78
08/15/11, 1129.01, 1169.90, 1129.01, 1169.65
08/12/11, 1119.51, 1139.49, 1119.51, 1129.01
08/11/11, 1062.76, 1133.57, 1062.76, 1119.51
08/10/11, 1102.00, 1102.00, 1059.33, 1062.76
